"App","Category","Rating","Number.of.ratings"
"Paint Joy","Casual",4.4,18738
"Mixology??? Drink Recipes","Lifestyle",4.4,1825
"Talking Luis Lion","Entertainment",4.2,3864
"Hello Kitty","Brain & Puzzle",4.2,1088
"Angry Birds Seasons","Arcade & Action",4.5,357365
"Jewel Magic","Brain & Puzzle",4.4,1865
"OMG! Button!","Entertainment",4.5,1124
"Dolphin Browser??? Mini","Lifestyle",4.5,16859
"Farm Tower HD","Brain & Puzzle",4.4,21083
"YouTube Remote","Entertainment",4.2,3857
"GO Keyboard Pink Theme","Libraries & Demo",4.4,5500
"Google Translate","Tools",4.6,140112
"Job Search","Business",4.3,10357
"MangaWhat | Manga Reader","Comics",4.6,2806
"Heyzap","Social",4.4,13778
"Compass","Productivity",4.3,78483
"Scanner Radio","Entertainment",4.4,52153
"Baseball Superstars??","Sports Games",4.6,3279
"Shazam Encore","Music & Audio",4.6,10539
"Google Goggles","Productivity",4.1,98433
"BibleReader","Books & Reference",4.5,2203
"Ultimate Touhou Videos Plus!","Entertainment",4.4,1086
"Color Flashlight HD","Tools",4.4,4457
"shopkick","Shopping",4.4,52217
"GO Keyboard","Tools",4.5,51072
"Pocket Frogs","Casual",4.7,10383
"Adobe Flash Player 11","Tools",4.4,431974
"Viber : Free Calls & Messages","Communication",4.2,37107
"Destroy Gunners F","Arcade & Action",4.4,1376
"GunApp 3D FREE (The Original)","Entertainment",4.1,2105
"Diet Point","Health & Fitness",4.2,13321
"ATP/WTA Live","Sports",4.6,1737
"Hotels.com ??? 140,000+ hotels","Travel & Local",4.1,3568
"Find The Ball","Casual",4.2,2510
"Quick King James (KJV) Bible","Books & Reference",4.8,1542
"Order & Chaos Online","Arcade & Action",4.6,7657
"Space Bubbles","Brain & Puzzle",4.4,2559
"??Torrent Remote","Media & Video",4.2,4029
"Circle Battery Widget","Tools",4.5,4150
"NoLED","Productivity",4.4,10569
"HeyWire","Communication",4.2,18997
"Wise Proverbs Daily Bible","Lifestyle",4.7,7747
"Kids Connect the Dots Lite","Education",4.3,20300
"PdaNet 3.02","Communication",4.6,3482
"20000 Awesome Jokes","Entertainment",4.3,7189
"Kongregate Arcade","Casual",4.6,6688
"BBC News","News & Magazines",4.3,3296
"Wallpapers HD","Entertainment",4.7,141475
"Desk Migrate","Tools",4.3,2097
"GO Book","Books & Reference",4.2,1214
"2 Player Reactor","Arcade & Action",4.6,31315
"Sun Rise Free Live Wallpaper","Personalization",4.5,5023
"Gastos M??vil","Finance",4.3,1169
"Myth Defense LF","Arcade & Action",4.7,3790
"Paint Joy","Casual",4.4,18738
"Google Shopper","Shopping",4.2,29268
"Mahjong and Friends Free","Cards & Casino",4.4,2756
"GRave Defense Gold","Arcade & Action",4.6,1326
"Battle Ludo","Brain & Puzzle",4.5,11492
"Visidon AppLock","Tools",4.3,1462
"CamScanner -Phone PDF Creator","Productivity",4.5,28429
"Mystery of the Crystal Portal","Brain & Puzzle",4.3,18126
"PhotoFunia","Photography",4.5,47173
"Pets LIVE???","Arcade & Action",4.5,24864
"Period and Ovulation Tracker","Lifestyle",4.3,7779
"World Newspapers","News & Magazines",4.4,133641
"CircleLauncher light","Productivity",4.4,6385
"doubleTwist Player","Music & Audio",4.4,68920
"Color Flashlight HD","Tools",4.4,4328
"Yahoo! Fantasy Football '11","Sports",4.1,15681
"Snowfall Free Live Wallpaper","Personalization",4.3,18401
"Skyscape Medical Resources","Medical",4.1,2212
"MX Video Player","Media & Video",4.6,15842
"Noom Weight Loss","Health & Fitness",4.5,14791
"mem","Brain & Puzzle",4.3,1614
"Pink Pad Free (Period Tracker)","Health & Fitness",4.1,2269
"UPnPlay","Media & Video",4.3,1572
"MSN Messenger: Mercury Free","Communication",4.4,33726
"GPS Status & Toolbox","Travel & Local",4.5,35052
"Battle.net Authenticator","Entertainment",4.8,16324
"Shazam","Music & Audio",4.5,239452
"Chalk Ball Lite","Casual",4.2,1420
"Jazz Internet Radio","Music & Audio",4.7,2301
"sweet tree LiveWallpaper Free","Personalization",4.3,2549
"City Story???","Arcade & Action",4.5,24552
"Kids Numbers and Math Lite","Education",4.4,12120
"Opera Mobile web browser","Communication",4.4,78989
"Doodle Grub","Arcade & Action",4.5,1661
"ScreenLight Flashlight/Strobe","Tools",4.4,6518
"WebMD for Android","Health & Fitness",4.4,5513
"Substrate Live Wallpapers","Personalization",4.3,1464
"PicSpeed HD Wallpapers 50,000+","Personalization",4.6,84071
"Scrabble Helper","Brain & Puzzle",4.2,6332
"Ringdroid","Media & Video",4.6,150300
"Shapes","Education",4.3,1051
"Chinese Dark Chess","Brain & Puzzle",4.1,1991
"Multi Lang Dictionary + TTS","Books & Reference",4.2,1721
"MyCar Locator Free","Transportation",4.2,1313
"GO Contacts","Communication",4.4,19075
"TeslaLED Flashlight","Tools",4.5,13633
"My Country","Arcade & Action",4.4,119052
"Business Calendar Free","Productivity",4.5,10974
"Moon+ Reader","Books & Reference",4.5,24960
"Yo Jigsaw Puzzle","Brain & Puzzle",4.5,1255
"Norgeskart (Map of Norway)","Travel & Local",4.6,1119
"CNN App for Android Phones","News & Magazines",4.1,6642
"Napster","Music & Audio",4.3,4453
"Best Wallpapers & Backgrounds","Personalization",4.1,4613
"Real BlackJack","Cards & Casino",4.3,132866
"Adobe AIR","Tools",4.4,64655
"HOMERUN BATTLE 3D FREE","Arcade & Action",4.2,28904
"FriendCaller","Communication",4.1,1969
"Onion Media Player","Media & Video",4.1,3114
"Google Chrome to Phone","Tools",4.6,24475
"Armored II Free: Tower Defense","Arcade & Action",4.1,3520
"Guitar : Solo Lite","Entertainment",4.4,64807
"GRave Defense HD","Arcade & Action",4.7,2191
"Air Hockey","Sports Games",4.1,1355
"Weather, Radar, Alerts, Quakes","Weather",4.5,1248
"NYC Bus & Subway Maps","Travel & Local",4.4,8023
"PhotoWall Live Wallpaper","Personalization",4.1,7015
"Daum MyPeople","Communication",4.1,39900
"Wiki Encyclopedia 4 Wikipedia","Books & Reference",4.3,15235
"Speaktoit Assistant","Productivity",4.4,4141
"TrackChecker","Business",4.8,1410
"Muffin Knight FREE","Arcade & Action",4.2,1392
"Floating Image","Entertainment",4.3,8376
"DailyBibleVerse Widget","Books & Reference",4.3,2443
"Daum MyPeople","Communication",4.1,39902
"App 2 SD (move app to SD)","Tools",4.5,35135
"JuiceDefender","Productivity",4.4,84414
"Nyan cat + live wallpaper","Casual",4.5,3082
"Soul Movie","Media & Video",4.4,9513
"Retro Clock Widget","Tools",4.2,60995
"Waze: Community GPS navigation","Transportation",4.5,70245
"CNN App for Android Phones","News & Magazines",4.1,6639
"News360 for Phones","News & Magazines",4.3,1113
"BUG VILLAGE","Casual",4.3,81629
"Aqua Pets","Casual",4.3,30607
"My Country","Arcade & Action",4.4,117982
"Move the Box","Brain & Puzzle",4.3,1397
"MyMusicOn Music Player","Music & Audio",4.3,13172
"Sudoku Free","Brain & Puzzle",4.2,28088
"GO Contact Widget","Communication",4.3,4413
"Wheres My Droid","Tools",4.6,66180
"MatchUp : Exercise your Memory","Brain & Puzzle",4.3,11006
"Apparatus LITE","Brain & Puzzle",4.3,2602
"Zillow Real Estate & Rentals","Lifestyle",4.3,15229
"Stocks","Finance",4.1,4509
"Dolphin Browser??? HD","Communication",4.6,199559
"Light Grid Live Wallpaper","Personalization",4.6,7052
"ABN AMRO Mobiel Bankieren","Finance",4.5,3298
"Devil Ninja2 (vs Boss)","Racing",4.4,11095
"SystemPanel App / Task Manager","Tools",4.7,4776
"Quote Pro","Finance",4.4,3046
"Reversi","Brain & Puzzle",4.2,3534
"WeatherBug Elite","Weather",4.2,16938
"Color Flashlight","Tools",4.3,58295
"Equalizer","Music & Audio",4.5,6125
"TweetDeck (Twitter, Facebook)","Social",4.3,47399
"Jewels Free","Arcade & Action",4.6,6587
"Dragon Hunter","Racing",4.2,6310
"OvuView","Health & Fitness",4.5,4134
"App Locker II: Fake Crash","Business",4.4,1765
"TripAdvisor","Travel & Local",4.4,55070
"Radardroid Lite International","Travel & Local",4.3,9820
"E! Online","Entertainment",4.3,7757
"Dolphin Google Services","Communication",4.5,1747
"AirSync by doubleTwist","Music & Audio",4.2,5763
"PowerAMP Music Player (Trial)","Music & Audio",4.6,122075
"Foursquare","Social",4.2,81789
"SportsTracker (by STL)","Health & Fitness",4.3,2516
"SystemPanelLite Task Manager","Tools",4.6,8684
"Handcent SMS","Communication",4.5,394605
"Super Connect 4","Cards & Casino",4.1,2340
"What the Doodle!? (LITE)","Casual",4.1,4864
"App 2 SD (move app to SD)","Tools",4.5,35324
"Zombies Live???","Arcade & Action",4.3,11572
"Software Data Cable","Business",4.5,1497
"Slot Machine","Cards & Casino",4.2,43154
"Christmas Lights LiveWallpaper","Personalization",4.1,6644
"???????????? ???????????? 77","Books & Reference",4.2,1272
"TripIt","Travel & Local",4.3,8742
"Quit Smoking","Health & Fitness",4.1,2150
"Jewels Link!","Casual",4.6,13032
"Flight Director (Lite)","Arcade & Action",4.2,7219
"AcroBible Lite, KJV Bible","Books & Reference",4.7,4375
"Stitcher Radio","Media & Video",4.1,11407
"Smurfs' Village","Casual",4.8,24631
"Ultimate Weight Watcher Diary","Health & Fitness",4.7,1679
"Top Deals. Die Schn??ppchen-App","Shopping",4.7,1431
"Marvel Comics","Comics",4.2,2112
"Hide It Pro","Media & Video",4.8,67446
"Colors","Education",4.4,1064
"Album Art Grabber Free","Media & Video",4.5,6892
"VEVO","Music & Audio",4.1,28220
"A.I.type Keyboard Free","Productivity",4.4,2436
"Ulysse Speedometer","Transportation",4.5,5529
"ADW.Launcher","Productivity",4.4,70117
"Point Inside Shopping & Travel","Shopping",4.1,1230
"aFlashlight","Lifestyle",4.2,22658
"Virtual City","Casual",4.3,12870
"Penguin Baseball","Sports Games",4.2,2033
"Alawar's Farm Frenzy Lite","Casual",4.3,4799
"My Tracks","Health & Fitness",4.5,50927
"GO Weather","Weather",4.2,40328
"Tank Recon 3D (Lite)","Arcade & Action",4.2,13286
"Smiley Pops","Casual",4.3,45406
"Shazam Encore","Music & Audio",4.6,10539
"US Yellow Pages","Travel & Local",4.4,46107
"Digitally Imported Radio","Music & Audio",4.6,14496
"Meridian Media Player Revolute","Media & Video",4.3,31822
"Antivirus Free","Communication",4.4,167248
"Google Chrome to Phone","Tools",4.6,24475
"Simple Calendar Widget","Productivity",4.5,9939
"Talking Tom Cat 2 Free","Entertainment",4.5,47757
"????????? Online","Cards & Casino",4.9,2576
"WHERE","Travel & Local",4.3,48311
"Weed Strains 3D Free","Books & Reference",4.4,1348
"ChromeMarks Lite","Communication",4.5,1875
"Cordy","Arcade & Action",4.3,15164
"Myth Defense LF free","Arcade & Action",4.6,4740
"Sudoku Plus","Brain & Puzzle",4.6,3273
"VLC Remote (beta)","Media & Video",4.4,3945
"Club NeonSign LookAtMe","Entertainment",4.3,1899
"Baseball Superstars?? 2011","Sports Games",4.2,1622
"Ninesky Browser","Communication",4.5,1607
"Super Security beta","Libraries & Demo",4.4,4644
"Gun Club 2","Arcade & Action",4.6,1626
"aNdClip Free","Tools",4.4,2569
"Roulette Royale","Cards & Casino",4.1,7499
"Basketball Shot","Arcade & Action",4.2,83833
"Jewellust Xmas Lite","Brain & Puzzle",4.5,2736
"Google Earth","Travel & Local",4.5,89080
"ActionPotato","Arcade & Action",4.2,16715
"Sleep as Android","Lifestyle",4.2,7512
"ThinkFree Office Mobile Viewer","Business",4.1,5024
"UniWar","Arcade & Action",4.5,1402
"Kid Mode: Kids Games + Videos","Education",4.4,16704
"Nyan cat + live wallpaper","Casual",4.5,3082
"Traffic Jam Free","Brain & Puzzle",4.3,23522
"Caligo Chaser Free","Arcade & Action",4.3,2514
"QuickPic","Photography",4.7,64384
"MoneyWise","Finance",4.4,1128
"DocumentsToGo Full Version Key","Business",4.3,13654
"Virtual City","Casual",4.3,12828
"MoboPlayer","Media & Video",4.5,35428
"Aquarium Live Wallpaper","Personalization",4.1,62145
"Pageonce","Finance",4.5,17629
"DIRECTV Remote FREE!","Entertainment",4.6,4383
"GUN BROS","Arcade & Action",4.2,72187
"Zynga Poker","Cards & Casino",4.6,127057
"Thai sex stories ?????????????????? ???????????????","Entertainment",4.6,2481
"Essential Apps Guide","Tools",4.5,27706
"Google Sky Map","Books & Reference",4.7,221793
"Gay Chat +: Maleforce 2.0","Social",4.2,3669
"Movie Finder","Entertainment",4.3,9677
"Banjo","Social",4.2,1497
"Speed Card Free","Cards & Casino",4.4,3057
"GrubHub Food Delivery/Takeout","Travel & Local",4.2,1508
"Checkers Pro","Cards & Casino",4.1,1143
"Void Defence","Brain & Puzzle",4.1,1148
"Advanced Task Killer","Productivity",4.5,344585
"Gun Club 2","Arcade & Action",4.6,1626
"Myth Defense LF","Arcade & Action",4.7,3880
"Note Everything","Productivity",4.5,22252
"TD Ameritrade Mobile","Finance",4.1,2126
"Algebra Tutor","Brain & Puzzle",4.3,2147
"ComicBricks","Comics",4.6,3031
"Moto X Mayhem Lite","Racing",4.3,7405
"Easy Currency Converter","Finance",4.6,1185
"Kindle","Books & Reference",4.3,70124
"Tour Translator","Communication",4.2,1793
"TapeMachine Recorder","Music & Audio",4.6,1366
"PowerAMP Music Player (Trial)","Music & Audio",4.6,122075
"Instant Heart Rate","Health & Fitness",4.2,63589
"Virtual City Playground","Arcade & Action",4.2,6640
"Date In Tray","Productivity",4.1,1934
"WeatherBug","Weather",4.2,108683
"eTomato Stock Master[?????????]","Finance",4.6,6762
"Root Checker Basic","Tools",4.6,2079
"Bubble Live Wallpaper","Personalization",4.3,15312
"DIRECTV","Entertainment",4.2,16924
"Documents To Go 3.0 Main App","Business",4.2,39429
"GO Contacts Graffiti Theme","Communication",4.5,1024
"Live Wallpaper: Nexus Boot!","Personalization",4.1,2137
"Gasolineras Espa??a","Travel & Local",4.4,1253
"Learn Italian with busuu.com!","Education",4.6,1614
"CSipSimple","Communication",4.4,4149
"Task Manager","Business",4.4,13482
"WiFi Tethering","Communication",4.5,2450
"Official eBay Android App","Shopping",4.2,87075
"Catch Notes","Productivity",4.4,25402
"FxCamera","Photography",4.4,89888
"CONTRACT KILLER: ZOMBIES (NR)","Arcade & Action",4.5,55585
"Pocket Bingo Free","Cards & Casino",4.2,7921
"ShakeCall","Tools",4.2,1441
"GTasks","Productivity",4.5,16627
"Best Apps Market","Tools",4.5,10601
"Minesweeper Classic (Mines)","Brain & Puzzle",4.4,6444
"Battery Calibration","Tools",4.5,2711
"Tip Calculator by TradeFields","Finance",4.4,9246
"106 & Park","Entertainment",4.6,2207
"Simple Weight Recorder","Health & Fitness",4.2,1990
"Galaxy Tarot","Lifestyle",4.5,1605
"MangaWhat | Manga Reader","Comics",4.6,2785
"Dianping","Travel & Local",4.5,5672
"HomeWork","Education",4.6,2372
"SiMi Folder Widget","Tools",4.5,4324
"NinJump","Arcade & Action",4.4,69832
"Lightbox","Photography",4.1,3966
"Bluetooth File Transfer","Communication",4.3,83710
"OpenTable","Travel & Local",4.2,12606
"Pandora?? internet radio","Music & Audio",4.5,650800
"Seesmic (Facebook, Twitter)","Social",4.3,106137
"AK-47","Entertainment",4.1,16514
"Action Snap","Photography",4.2,6517
"Memo Widget (Note Widget)","Lifestyle",4.4,3428
"TuneIn Radio","Music & Audio",4.5,127518
"GO SMS Pro Emoji Plugin","Personalization",4.3,11164
"Stupid Zombies","Arcade & Action",4.4,38463
"Vaulty Free Hides Pictures","Media & Video",4.7,204355
"Secrets","Communication",4.1,2898
"Tank Hero","Arcade & Action",4.6,128295
"RunKeeper","Health & Fitness",4.3,13337
"TweetCaster for Twitter","Social",4.4,260105
"Toss It","Casual",4.4,160275
"Doom Live Wallpaper","Personalization",4.8,3935
"Mr. Number","Communication",4.4,34787
"WSOP HOLD'EM LEGEND","Cards & Casino",4.1,6642
"2x Battery","Productivity",4.2,2476
"Tower Raiders 2 FREE","Arcade & Action",4.6,4707
"Booking.com","Travel & Local",4.3,4868
"BBC News","News & Magazines",4.3,3296
"Armored II: Tower Defense","Arcade & Action",4.2,1417
"Jorte","Productivity",4.5,70000
"Smart Keyboard PRO","Tools",4.6,12509
"Kaloer Clock","Lifestyle",4.2,3161
"Doodle Devil??? F2P","Brain & Puzzle",4.7,5567
"Pocket Legends (3D MMO)","Arcade & Action",4.5,60336
"Slot Machine","Cards & Casino",4.2,43154
"NinJump","Arcade & Action",4.4,69832
"Myxer","Entertainment",4.4,20456
"Jesus Easter Live Wallpaper","Personalization",4.7,2282
"Magic Doodle Free","Casual",4.1,1778
"Shazam","Music & Audio",4.5,239361
"Random Mahjong","Brain & Puzzle",4.4,3440
"Muffin Knight","Arcade & Action",4.6,1028
"Handcent Font Pack5","Communication",4.1,10853
"BUG VILLAGE","Casual",4.3,80935
"Sun Rise Free Live Wallpaper","Personalization",4.5,5023
"Solitaire","Cards & Casino",4.3,87675
"MXHome Launcher","Productivity",4.4,1086
"Poker KinG Pro-Texas Holdem","Cards & Casino",4.8,7944
"Diversion","Arcade & Action",4.7,93147
"Digital World Clock Widget","Travel & Local",4.3,2296
"Battery Widget","Tools",4.5,7523
"Go!Chat for Facebook","Communication",4.4,81369
"Jewellust lite","Brain & Puzzle",4.4,21345
"Learn English with busuu.com!","Education",4.5,10776
"Street View on Google Maps","Travel & Local",4.1,168990
"Golf Solitaire Free","Cards & Casino",4.2,1810
"Flikie Wallpapers HD","Entertainment",4.6,69681
"chompSMS emoji add-on","Communication",4.3,1077
"Slice It!","Brain & Puzzle",4.5,206761
"HK TransportMap(beta)","Travel & Local",4.1,1218
"Coin Dozer","Cards & Casino",4.3,10339
"TuneWiki","Music & Audio",4.2,35866
"Fidelity Investments","Finance",4.1,2069
"Menstrual Calendar","Medical",4.1,7202
"Equalizer","Music & Audio",4.5,6138
"YP Yellow Pages & Gas Prices","Travel & Local",4.5,26599
"Romantic Sakura Live Wallpaper","Personalization",4.3,2011
"Advanced Task Manager","Productivity",4.4,37313
"Bluetooth Toggle Widget","Tools",4.2,2369
"WeatherBug","Weather",4.2,108352
"Pirates and Traders","Casual",4.4,5258
"Banner","Personalization",4.4,1749
"Zoo Story???","Arcade & Action",4.5,21654
"Pocket Frogs","Casual",4.7,10375
"Calorie Counter by FatSecret","Health & Fitness",4.4,43254
"GO Calendar Widget","Productivity",4.4,10817
"Wordsmith Free","Brain & Puzzle",4.2,4023
"Battery Solo Widget","Tools",4.4,13130
"GEICO BroStache","Entertainment",4.4,2303
"Antivirus Free","Communication",4.4,167898
"Bedside (Night Clock)","Lifestyle",4.4,1069
"E! Online","Entertainment",4.3,7757
"Display Shot (lite)","Arcade & Action",4.1,6480
"Plume for Twitter","Social",4.3,30301
"Dictionary","Books & Reference",4.5,6366
"Jamendo Player","Media & Video",4.2,1053
"Bubble Live Wallpaper","Personalization",4.3,15402
"FlashLight","Tools",4.4,11141
"The Weather Channel","Weather",4.1,211504
"Old Game","Brain & Puzzle",4.6,37827
"K-LOVE Positive & Encouraging","Entertainment",4.6,2854
"Daum Cloud","Productivity",4.4,1970
"Guitar : Solo Lite","Entertainment",4.4,64943
"?????????(3.0)","Communication",4.3,2522
"Shiny Shake Dolphin","Communication",4.4,1123
"Meganoid","Arcade & Action",4.4,4875
"Lightning Bug","Health & Fitness",4.6,22416
"Wikidroid for Wikipedia","Books & Reference",4.4,8707
"MatchUp : Exercise your Memory","Brain & Puzzle",4.3,11039
"Labyrinth Lite","Arcade & Action",4.3,57114
"Noom Weight Loss","Health & Fitness",4.5,14791
"Groupon","Shopping",4.6,66410
"Aliens Invasion","Arcade & Action",4.6,83116
"Baseball Superstars?? Free","Sports Games",4.1,24504
"One Touch Battery Saver","Tools",4.2,1510
"X Construction","Brain & Puzzle",4.6,13992
"Moviefone","Entertainment",4.4,8381
"Push Ups","Health & Fitness",4.7,10689
"Retro Camera","Photography",4.3,46263
"ActionPotato","Arcade & Action",4.2,16715
"Trivial Droid ( Quiz Game )","Brain & Puzzle",4.1,10635
"Bank of America","Finance",4.3,64681
"Baseball Superstars?? 2011","Sports Games",4.2,1623
"WeFi","Communication",4.1,5043
"Sex Positions","Entertainment",4.4,22700
"Balloons Live Wallpaper","Entertainment",4.1,3639
"Gurk, the 8-bit RPG","Arcade & Action",4.5,2682
"Talk To Me Classic","Travel & Local",4.2,3354
"Alarm Clock Xtreme Free","Tools",4.5,15135
"Coin Dozer","Cards & Casino",4.3,10339
"GTasks","Productivity",4.5,16662
"Netflix","Entertainment",4.3,125677
"Pocket Bingo Free","Cards & Casino",4.2,7921
"SlingPlayer for Phones","Entertainment",4.3,3655
"Google Translate","Tools",4.6,138805
"Little Photo","Photography",4.5,30287
"Engadget","News & Magazines",4.4,20335
"Lotto Picks US lottery results","Lifestyle",4.2,1550
"Battery Widget","Productivity",4.3,114143
"Kaloer Clock","Lifestyle",4.2,3159
"Easy Tether Lite","Communication",4.3,18421
"World of Warcraft Armory","Entertainment",4.4,13747
"WebSharingLite File/Media Sync","Communication",4.6,1968
"?????? ????????? ????????? Money Boook Lite","Finance",4.5,1852
"Talk To Me Classic","Travel & Local",4.2,3354
"iRunner","Arcade & Action",4.6,77016
"Relax with Andrew Johnson Lite","Health & Fitness",4.2,1566
"Aquarium Live Wallpaper","Personalization",4.1,62258
"Cycle Hire Widget Lite","Travel & Local",4.3,1152
"Brain Cafe | GeoQuiz","Brain & Puzzle",4.3,7719
"Clowning Around Free","Brain & Puzzle",4.4,2475
"Remote Desktop Client","Communication",4.7,2469
"Slots Royale","Cards & Casino",4.3,15877
"Math Workout","Brain & Puzzle",4.3,21405
"Calorie Counter","Health & Fitness",4.5,27711
"Backgrounds Box (old version)","Education",4.3,6713
"MBC radio mini","Media & Video",4.2,5490
"wp clock light","Personalization",4.1,10492
"SpeechSynthesis Data Installer","Libraries & Demo",4.1,130649
"Restaurant Story???","Arcade & Action",4.4,108009
"TiKL","Social",4.3,130739
"Droid Of The Day","Shopping",4.3,1640
"Nederlandse Kranten","News & Magazines",4.2,5891
"Prayers & Blessings Daily","Lifestyle",4.8,1427
"ABC News","News & Magazines",4.1,1011
"Battery Dr saver+a task killer","Tools",4.3,26785
"DatPiff Mobile","Media & Video",4.1,18094
"GRave Defense Holidays","Arcade & Action",4.6,3195
"Disneyland MouseWait 2.0 FREE","Travel & Local",4.6,1733
"textPlus Free Texting","Social",4.1,16528
"Talking John Dog & Soundboard","Entertainment",4.2,8486
"Who Becomes Rich (Trivia Quiz)","Brain & Puzzle",4.4,45460
"Alarm Clock Plus???","Health & Fitness",4.4,24284
"Bluetooth OnOff","Tools",4.3,8740
"Hebrew Language Pack","Libraries & Demo",4.2,2134
"Coin Pirates","Cards & Casino",4.1,24225
"Springpad","Productivity",4.4,16285
"MacDroid Translator","Travel & Local",4.1,1119
"National Flags Quiz","Brain & Puzzle",4.4,9130
"Angel Browser","Communication",4.1,2022
"Smart Taskbar","Productivity",4.4,3562
"Wallpapers HD","Entertainment",4.7,141475
"Talking Wheelie TransFormers","Entertainment",4.6,1496
"Nations At War","Arcade & Action",4.3,3836
"iTriage","Health & Fitness",4.5,31243
"Stock Alert","Finance",4.1,1348
"iKamasutra Lite Sex Positions","Books & Reference",4.3,10357
"MightyText","Communication",4.5,1994
"Tourettes Guy Soundboard","Entertainment",4.2,1907
"Moto X Mayhem","Racing",4.1,2685
"WeatherPro","Weather",4.5,5903
"Bubble","Tools",4.5,28351
"Zombie Road","Arcade & Action",4.4,6449
"Last Stand Lite","Arcade & Action",4.1,2905
"Bubble Drop","Racing",4.1,1590
"YP Yellow Pages & Gas Prices","Travel & Local",4.5,26967
"Striker Live Wallpaper","Personalization",4.1,2348
"TweetCaster for Twitter","Social",4.4,260105
"JEFIT Pro","Health & Fitness",4.7,1937
"Animated Analog Clock Widget","Lifestyle",4.2,2571
"Home","Libraries & Demo",4.1,1012
"ES File Explorer","Productivity",4.7,123641
"YP Yellow Pages & Gas Prices","Travel & Local",4.5,26964
"WeatherEye","Weather",4.2,4346
"PhotoFunia","Photography",4.5,47173
"Super Dynamite Fishing FREE","Arcade & Action",4.5,38703
"GPS Status & Toolbox","Travel & Local",4.5,34905
"Daily Bible","Books & Reference",4.8,67616
"Galactic Core Live Wallpaper","Personalization",4.3,23226
"Bible Quotes","Entertainment",4.7,19857
"chompSMS","Communication",4.4,111188
"Talking Babsy Baby","Lifestyle",4.1,14789
"Moto X Mayhem Lite","Racing",4.3,6446
"Trillian","Communication",4.4,4978
"World War???","Arcade & Action",4.6,32934
"Financisto","Finance",4.7,7154
"Pulse News","News & Magazines",4.4,36640
"FatBooth","Entertainment",4.4,20491
"Cadpage","Communication",4.7,1131
"Bunny Shooter","Brain & Puzzle",4.7,285847
"Carango","Finance",4.5,1206
"History Eraser","Productivity",4.6,23920
"TD Bank (US)","Finance",4.4,3179
"KakaoTalk Mes???sen???ger","Communication",4.5,687462
"ESV Bible","Books & Reference",4.4,1165
"Sex Offender Search","Entertainment",4.6,51197
"EggMon barcode and QR search","Shopping",4.1,2490
"VitalPlayer Neon","Media & Video",4.4,1007
"ShakyTower","Arcade & Action",4.4,27290
"We Rule","Casual",4.6,4637
"2 Player Reactor","Arcade & Action",4.6,31177
"Word Breaker (Scrabble Cheat)","Brain & Puzzle",4.3,10933
"Robo Defense FREE","Arcade & Action",4.6,132609
"Tic Tac Toe Free","Casual",4.2,7625
"Ringtone Maker Pro Free","Media & Video",4.2,3559
"Skitch","Productivity",4.2,9197
"Kingdoms Live???","Arcade & Action",4.4,17489
"No 1 Caller LookUp","Productivity",4.1,1062
"Secrets","Communication",4.1,2854
"Math Maniac","Brain & Puzzle",4.4,41737
"Nexus Revamped Live Wallpaper","Personalization",4.5,8206
"Color Flashlight","Tools",4.3,58268
"Solitaire MegaPack","Cards & Casino",4.5,1188
"Apparatus","Brain & Puzzle",4.6,3334
"Bubble Blast St Patrick's Day","Brain & Puzzle",4.6,5362
"Nyan cat + live wallpaper","Casual",4.5,3103
"Asteroid Defense","Arcade & Action",4.5,3238
"NICHTLUSTIG","Comics",4.8,1819
"TeamSpeak for Android BETA","Communication",4.3,1141
"Easy Uninstaller","Productivity",4.7,15007
"PacDroid Live Wallpaper","Entertainment",4.1,1839
"Choice of the Vampire","Casual",4.6,3490
"Daily Butt Workout FREE","Health & Fitness",4.5,3234
"WeatherBug","Weather",4.2,108194
"English Dictionary Wordnet","Books & Reference",4.4,1362
"Psychological Test For Fun!!","Lifestyle",4.2,13596
"Move it! Free","Brain & Puzzle",4.3,41949
"ABCs","Education",4.2,2220
"Help Out","Brain & Puzzle",4.8,7327
"Jewels","Arcade & Action",4.4,32605
"Guns'n'Glory","Arcade & Action",4.6,1918
"Bubble Blast Valentine","Brain & Puzzle",4.6,19731
"Robotek","Arcade & Action",4.3,19485
"FatBooth","Entertainment",4.4,20491
"Happy Pregnancy Ticker","Health & Fitness",4.5,2865
"iRunner","Arcade & Action",4.6,76718
"Block Puzzle Tangram","Brain & Puzzle",4.6,4376
"PayPal","Finance",4.2,25853
"ETERNITY WARRIORS","Arcade & Action",4.6,20569
"Wireless Tether for Root Users","Communication",4.6,20511
"Tattoo Tycoon FREE","Arcade & Action",4.6,6344
"Sundroid Free Sunrise Sunset","Books & Reference",4.3,1074
"TouchPal Keyboard","Tools",4.2,2738
"Asteroid Defense","Arcade & Action",4.5,3237
"MyCar Locator Free","Transportation",4.2,1332
"GO Weather","Weather",4.2,40328
"Prayers & Blessings Daily","Lifestyle",4.8,1427
"HeyTell","Social",4.4,24413
"Google Authenticator","Tools",4.7,6546
"Mixology??? Drink Recipes","Lifestyle",4.4,1889
"FishBowl Live Wallpaper","Entertainment",4.2,2501
"iMobsters???","Casual",4.6,31360
"GO Calendar Widget","Productivity",4.4,10817
"Smart Taskbar","Productivity",4.4,3581
"Flightradar24 Pro","Travel & Local",4.2,1071
